[protein],[ligand],[-log k],[resolution],[year],[origin],[covalent_bond]
1kdw,4CB,5.537602002101044,2.28,2002,PDB,True
1ke0,CVB,5.376750709602099,2.30,2002,PDB,True
1re1,NA3,5.213461519502197,2.50,2004,PDB,True
1rhr,CNE,8.09963287134353,3.00,2004,PDB,True
1rxp,169,7.142667503568731,1.70,2004,PDB,True
1rhj,PZN,8.03763066432998,2.20,2004,PDB,True
1uod,G3H,3.1079053973095196,1.90,2004,PDB,True
1xxh,AGS,6.107905397309519,3.45,2004,PDB,True
1pi5,SM2,7.769551078621726,1.49,2004,PDB,True
1rwx,YBH,7.366531544420414,1.85,2004,PDB,True
1rww,OQB,8.301029995663981,2.80,2004,PDB,True
2bz5,AB4,6.154901959985743,1.90,2005,PDB,True
1yk7,NBL,7.721246399047171,2.50,2005,PDB,True
1u9w,IHI,8.455931955649724,2.30,2005,PDB,True
1u9v,IHE,8.221848749616356,2.20,2005,PDB,True
1u9x,IHJ,8.154901959985743,2.10,2005,PDB,True
1ykp,DHB,2.958607314841775,2.41,2005,PDB,True
2ajl,JNH,7.886056647693163,2.50,2005,PDB,True
1yms,NBF,5.920818753952375,1.60,2005,PDB,True
1z6f,BO9,4.886056647693163,1.60,2005,PDB,True
1zpc,716,6.595166283380062,2.60,2006,PDB,True
2auz,CT2,9.455931955649724,2.30,2006,PDB,True
2fda,682,6.29929628285498,2.00,2006,PDB,True
2aux,CT1,9.301029995663981,2.40,2006,PDB,True
1zpb,995,6.070581074285707,2.10,2006,PDB,True
2bdl,4PR,7.823908740944319,2.00,2006,PDB,True
2fj0,TFC,7.657577319177793,2.70,2006,PDB,True
1zom,339,7.522878745280337,2.25,2006,PDB,True
2alv,CY6,4.154901959985743,1.90,2006,PDB,True
2q9n,LK5,6.366531544420414,2.20,2007,PDB,True
2q9m,LK7,7.2076083105017466,2.05,2007,PDB,True
3bcn,E64,7.117760151981177,2.85,2007,PDB,True
2o9a,PYR,3.8063189704587184,1.80,2007,PDB,True
2ftd,ILI,10.387216143280265,2.55,2007,PDB,True
2op3,TF5,6.309803919971486,1.60,2007,PDB,True
2o7e,PMI,6.221848749616356,1.75,2007,PDB,True
2oc7,HU4,5.853871964321762,2.70,2007,PDB,True
2f9v,BN6,7.823908740944319,2.60,2007,PDB,True
2oc0,HU1,7.823908740944319,2.30,2007,PDB,True
2rcx,SM4,9.0,2.00,2007,PDB,True
2op9,WR1,5.657577319177793,1.80,2007,PDB,True
2gvf,NHN,7.6020599913279625,2.50,2007,PDB,True
2i72,VA1,7.431798275933005,2.20,2007,PDB,True
2oc1,HU2,5.366531544420414,2.70,2007,PDB,True
2obo,HUD,7.2441251443275085,2.60,2007,PDB,True
2rjr,295,1.9355420107730814,2.10,2008,PDB,True
2pre,E64,6.647817481888637,2.70,2008,PDB,True
2qlq,SR2,6.627087997029894,2.33,2008,PDB,True
2qve,247,2.318758762624413,2.00,2008,PDB,True
2rjs,296,2.275724130399211,2.40,2008,PDB,True
2qq7,SR2,5.243363891754152,2.38,2008,PDB,True
3b9s,RW1,5.301029995663981,1.80,2008,PDB,True
2qky,13Z,9.607303046740334,3.10,2008,PDB,True
2oz2,D1R,5.714442690992226,1.95,2008,PDB,True
3bjm,BJM,8.301029995663981,2.35,2008,PDB,True
2p59,GG4,7.301029995663981,2.90,2008,PDB,True
3bh3,PNH,6.154901959985743,2.10,2008,PDB,True
2v6n,XP1,5.860120913598763,1.98,2008,PDB,True
1w12,SL1,7.853871964321762,2.40,2008,PDB,True
1w10,SJ1,7.552841968657781,2.00,2008,PDB,True
2wzx,ZX0,6.0,1.40,2010,PDB,True
3ika,0UN,7.853871964321762,2.90,2010,PDB,True
3kwb,ORH,7.769551078621726,2.02,2010,PDB,True
3kw9,ORG,9.0,1.80,2010,PDB,True
2wzz,ZX1,5.3979400086720375,1.57,2010,PDB,True
3kwz,KWZ,8.397940008672037,1.49,2010,PDB,True
2xow,ISM,5.221848749616356,2.09,2010,PDB,True
3o6t,PX5,5.221848749616356,2.40,2010,PDB,True
3a73,PJ2,3.3767507096020997,2.19,2010,PDB,True
3aav,A2C,6.619788758288394,1.70,2010,PDB,True
3of8,I0Y,9.221848749616356,2.20,2010,PDB,True
3ixg,BZB,7.568636235841013,2.14,2010,PDB,True
3s1y,S1Y,6.221848749616356,1.40,2011,PDB,True
3sjo,AG7,5.782516055786094,1.70,2011,PDB,True
3svv,VSP,6.943095148663527,2.20,2011,PDB,True
3sji,AG7,5.686132779630847,1.80,2011,PDB,True
3s22,3S2,5.455931955649724,1.65,2011,PDB,True
2xln,EWA,4.481486060122113,2.40,2011,PDB,True
3qkv,QKV,7.443697499232712,3.10,2011,PDB,True
2xni,TR8,7.366531544420414,3.30,2011,PDB,True
4bsq,QQV,9.154901959985743,1.96,2013,PDB,True
4ght,AG7,5.777283528852417,1.96,2013,PDB,True
3w2t,LF7,7.534617148551582,2.36,2013,PDB,True
4hbp,17J,8.42021640338319,2.91,2013,PDB,True
3zim,KKR,8.167491087293763,2.85,2013,PDB,True
3w2q,HKI,7.180456064458132,2.20,2013,PDB,True
4bs5,MG2,8.221848749616356,1.25,2013,PDB,True
3w2p,W2P,5.0915149811213505,2.05,2013,PDB,True
4j5p,BR1,7.920818753952375,2.30,2013,PDB,True
4axm,V65,7.886056647693163,2.80,2013,PDB,True
4ivk,CEP,3.853871964321762,1.80,2013,PDB,True
5j8x,OK3,8.795880017344075,2.53,2016,PDB,True
5lck,6TT,8.096910013008056,1.89,2016,PDB,True
5kre,6WG,7.229147988357856,2.00,2016,PDB,True
5eec,ZXM,7.096910013008056,1.87,2016,PDB,True
5ee8,ZXM,6.886056647693163,1.54,2016,PDB,True
5lc0,6T8,6.698970004336019,2.70,2016,PDB,True
5cls,52T,6.657577319177793,1.75,2016,PDB,True
5lcj,6TS,6.638272163982407,1.78,2016,PDB,True
5fq9,C6S,6.481486060122113,1.50,2016,PDB,True
5toz,7H4,9.460923901207224,1.98,2016,PDB,True
5c20,GHZ,6.410832609453952,2.75,2016,PDB,True
5dp8,5ED,6.356547323513813,2.40,2016,PDB,True
5dp9,5EX,6.075720713938118,1.90,2016,PDB,True
5t6g,N40,5.958607314841775,2.45,2016,PDB,True
5c1y,GHY,5.9044819576768495,1.97,2016,PDB,True
5e0g,5LG,5.795880017344075,1.20,2016,PDB,True
5t6f,N38,5.795880017344075,1.90,2016,PDB,True
5c1x,GHX,5.752763450493236,1.86,2016,PDB,True
5hn7,04M,3.9208187539523753,2.15,2016,PDB,True
5dp6,5EB,4.83238732727247,3.01,2016,PDB,True
5acb,5I1,6.801342913045577,2.70,2016,PDB,True
5dp5,5E9,4.728158393463501,2.03,2016,PDB,True
5e0h,5LH,5.619788758288394,1.95,2016,PDB,True
5dpa,5F2,4.648590248074561,2.06,2016,PDB,True
5hld,63V,4.657577319177793,2.31,2016,PDB,True
5hl9,AIX,4.657577319177793,2.70,2016,PDB,True
5dp7,5EC,4.5595632338942265,2.08,2016,PDB,True
5f02,5T9,7.443697499232712,1.43,2016,PDB,True
4z16,4LH,8.318758762624412,2.90,2016,PDB,True
5d6f,57R,4.366531544420414,1.55,2016,PDB,True
5i23,66V,7.286509456906058,1.95,2016,PDB,True
5l6p,6P8,7.259637310505756,2.26,2016,PDB,True
5e0j,5LJ,5.214670164989233,1.20,2016,PDB,True
5dp4,5E8,4.201487466968649,2.21,2016,PDB,True
5l6o,6P6,8.221848749616356,1.88,2016,PDB,True
5dg6,V66,5.0655015487564325,2.35,2016,PDB,True
5hlb,AZR,4.006563769502388,2.42,2016,PDB,True
5fa7,5VR,8.397940008672037,1.67,2016,PDB,True
5fao,5VW,7.958607314841775,3.01,2016,PDB,True
5fap,602,8.0,2.70,2016,PDB,True
5fas,5VR,7.468521082957745,1.74,2016,PDB,True
5fat,602,6.958607314841775,2.09,2016,PDB,True
5izk,GDP,6.721246399047171,3.25,2016,PDB,True
6g9s,ET5,8.0,2.00,2019,PDB,True
6k1s,CUX,7.698970004336019,2.60,2019,PDB,True
6nzg,L9D,7.698970004336019,2.43,2019,PDB,True
6mhd,JRD,7.292429823902063,2.16,2019,PDB,True
6oim,MOV,7.045757490560675,1.65,2019,PDB,True
6mhb,JR7,6.769551078621726,2.75,2019,PDB,True
6rtn,KJK,6.6307841425898575,2.17,2019,PDB,True
6j6m,BA0,9.522878745280337,1.25,2019,PDB,True
6mhc,JRM,6.431798275933005,2.00,2019,PDB,True
6rni,KAQ,9.397940008672037,1.54,2019,PDB,True
6g9f,NXL,6.229147988357856,2.35,2019,PDB,True
6p8y,O5Y,6.195179321278838,2.31,2019,PDB,True
6htc,GQK,5.958607314841775,2.80,2019,PDB,True
6rne,KA8,8.801342913045577,1.65,2019,PDB,True
6mny,JVP,8.823908740944319,2.80,2019,PDB,True
6htd,GQH,8.0,3.00,2019,PDB,True
6ib2,862,8.0,2.10,2019,PDB,True
6nvh,XL6,7.954677021213342,1.90,2019,PDB,True
6nvl,XL6,7.954677021213342,2.70,2019,PDB,True
6htr,GQT,7.958607314841775,2.60,2019,PDB,True
6skd,LH2,5.79997073344623,2.26,2019,PDB,True
6rn6,K9Q,6.801342913045577,2.40,2019,PDB,True
6ic6,H9B,7.823908740944319,1.90,2019,PDB,True
6jz0,CKO,7.823908740944319,2.86,2019,PDB,True
6iuo,AWX,7.787812395596042,2.30,2019,PDB,True
6htp,GQQ,6.795880017344075,3.00,2019,PDB,True
6nvi,XL7,8.585026652029182,2.12,2019,PDB,True
6p8x,O5V,5.555955204081924,2.11,2019,PDB,True
6hvw,GVW,5.552841968657781,3.00,2019,PDB,True
6pgo,OJ1,4.696803942579511,1.60,2019,PDB,True
6hvv,GT8,6.667561540084395,2.70,2019,PDB,True
6hvu,GTW,6.585026652029182,2.90,2019,PDB,True
6huc,GRT,7.585026652029182,3.00,2019,PDB,True
6nd3,BTL,4.585026652029182,2.36,2019,PDB,True
6mzw,TZ0,8.4089353929735,2.20,2019,PDB,True
6hv5,GQH,6.488116639021126,3.00,2019,PDB,True
6hvr,GRW,6.481486060122113,2.70,2019,PDB,True
6huu,GTW,7.455931955649724,2.80,2019,PDB,True
6hgy,G4B,8.522878745280337,2.20,2019,PDB,True
6ib0,H8Z,7.3979400086720375,2.60,2019,PDB,True
6qw7,MK7,6.327902142064283,1.78,2019,PDB,True
6nvj,XL5,8.275724130399212,2.30,2019,PDB,True
6rn7,K9W,7.300162274132754,1.66,2019,PDB,True
6hva,GQT,6.279840696594043,2.90,2019,PDB,True
6hvs,GRT,5.229147988357856,3.10,2019,PDB,True
6hv4,GQK,6.229147988357855,3.00,2019,PDB,True
6jpj,FGF,8.207608310501746,2.64,2019,PDB,True
6rn9,K9Z,8.200659450546418,1.90,2019,PDB,True
6hv7,GQQ,5.187086643357144,3.40,2019,PDB,True
6ic5,HB5,8.221848749616356,2.00,2019,PDB,True
6huq,GT5,7.142667503568731,3.00,2019,PDB,True
6skc,LH8,7.100179497572904,2.18,2019,PDB,True
6n4t,KD7,8.09151498112135,1.95,2019,PDB,True
6nvg,XL8,8.070581074285707,1.99,2019,PDB,True
6hub,GRW,8.096910013008056,2.90,2019,PDB,True
6a73,IHP,6.481486060122113,2.45,2019,PDB,True
6ntj,LLL,6.468521082957745,1.90,2019,PDB,True
6mkq,NXL,6.163675884293248,1.90,2019,PDB,True
6iyv,2RG,5.87942606879415,1.50,2019,PDB,True
6k4r,AMP,5.838631997765025,3.11,2019,PDB,True
6kjf,SIM,4.966576244513051,2.40,2019,PDB,True
6un1,TJ7,7.886056647693163,2.26,2019,PDB,True
6ikm,SPD,8.568636235841012,3.40,2019,PDB,True
6p8z,O5S,4.698970004336019,1.65,2019,PDB,True
4tln,LNO,3.721246399047171,2.30,1982,PDB,False
1rnt,2GP,5.187086643357144,1.90,1987,PDB,False
6cha,PBA,4.3979400086720375,1.80,1987,PDB,False
4ts1,TYR,4.935542010773082,2.50,1989,PDB,False
4tmn,0PK,10.167491087293763,1.70,1989,PDB,False
2tmn,0FA,5.886056647693163,1.60,1989,PDB,False
1tlp,RDF,7.552841968657781,2.30,1989,PDB,False
1tmn,0ZN,7.301029995663981,1.90,1989,PDB,False
5tmn,0PJ,8.040958607678906,1.60,1989,PDB,False
4fab,FLU,8.05551732784983,2.70,1990,PDB,False
3at1,PCT,3.1804560644581312,2.80,1990,PDB,False
1rbp,RTL,6.721246399047171,2.00,1991,PDB,False
1fkf,FK5,9.397940008672037,1.70,1991,PDB,False
9icd,NAP,3.9030899869919438,2.50,1991,PDB,False
4er1,0ZP,6.616184634019569,2.00,1991,PDB,False
5er2,0EK,6.568636235841013,1.80,1991,PDB,False
2ypi,PGA,4.823908740944319,2.50,1991,PDB,False
6cpa,ZAF,11.522878745280337,2.00,1991,PDB,False
5er1,0HT,6.017728766960431,2.00,1991,PDB,False
7gpb,AMP,5.522878745280337,2.90,1992,PDB,False
1stp,BTN,13.397940008672037,2.60,1992,PDB,False
6tim,G3P,3.214670164989233,2.20,1992,PDB,False
6gpb,H2P,4.853871964321762,2.86,1992,PDB,False
9hvp,0E9,8.346787486224656,2.80,1992,PDB,False
4tim,2PG,2.161150909262745,2.40,1992,PDB,False
4phv,VAC,9.173925197299173,2.10,1993,PDB,False
1rne,C60,8.698970004336019,2.40,1993,PDB,False
1ind,EOT,10.045757490560675,2.20,1993,PDB,False
1igj,DGX,10.0,2.50,1993,PDB,False
1fkb,RAP,9.698970004336019,1.70,1993,PDB,False
1gca,GAL,6.698970004336019,1.70,1993,PDB,False
1l83,BNZ,3.3979400086720375,1.70,1993,PDB,False
2avi,BTN,15.221848749616356,3.00,1993,PDB,False
1rin,MAN,3.154901959985743,2.60,1993,PDB,False
1atr,ADP,6.958607314841775,2.34,1993,PDB,False
1dbb,STR,9.0,2.70,1993,PDB,False
1rgl,2GP,4.431798275933005,2.00,1993,PDB,False
6rnt,2AM,2.3665315444204134,1.80,1993,PDB,False
1rgk,2AM,4.308918507877031,1.87,1993,PDB,False
3gst,GPR,6.721246399047171,1.90,1993,PDB,False
1cps,CPM,6.657577319177793,2.25,1993,PDB,False
2gst,GPS,6.070581074285707,1.80,1993,PDB,False
1ppm,0P1,5.795880017344075,1.70,1993,PDB,False
1hos,PHP,8.55284196865778,2.30,1993,PDB,False
1ppl,1Z7,8.55284196865778,1.70,1993,PDB,False
1bcd,FMS,8.698970004336019,1.90,1993,PDB,False
1ivp,1ZK,7.522878745280337,2.50,1993,PDB,False
1trd,PGH,5.3979400086720375,2.50,1993,PDB,False
1htf,G26,6.8297382846050425,2.20,1994,PDB,False
2hmb,PLM,5.585026652029182,2.10,1994,PDB,False
1dbj,AE2,7.6777807052660805,2.70,1994,PDB,False
1hte,G23,5.644931793651149,2.80,1994,PDB,False
2dbl,S5H,8.698970004336019,2.90,1994,PDB,False
1htg,G37,8.42021640338319,2.00,1994,PDB,False
1acj,THA,8.086186147616283,2.80,1994,PDB,False
1dbk,ANO,8.096910013008056,3.00,1994,PDB,False
1hsl,HIS,7.1938200260161125,1.89,1994,PDB,False
2drc,MTX,9.886056647693163,1.90,1994,PDB,False
1sri,DMB,6.080921907623926,1.65,1994,PDB,False
1tka,N3T,6.096910013008056,2.70,1994,PDB,False
1lst,LYS,7.853871964321762,1.80,1994,PDB,False
1tkc,M6T,4.853871964321762,2.70,1994,PDB,False
1avd,BTN,15.0,2.70,1994,PDB,False
1hgi,ANA,2.6777807052660805,2.70,1994,PDB,False
1hgj,AMN,1.6575773191777938,2.70,1994,PDB,False
1dhj,MTX,6.55129368009492,1.80,1994,PDB,False
1tys,TMP,5.485452247339714,1.80,1994,PDB,False
1pyg,AMP,5.522878745280337,2.87,1994,PDB,False
1adl,ACD,5.356547323513812,1.60,1994,PDB,False
1hge,MNA,2.2676062401770314,2.60,1994,PDB,False
2cgr,GAS,7.275724130399211,2.20,1994,PDB,False
1dhi,MTX,7.259637310505756,1.90,1994,PDB,False
1srg,MHB,5.301029995663981,1.80,1994,PDB,False
1erb,ETR,8.096910013008056,1.90,1994,PDB,False
1tni,PBN,4.0,1.90,1994,PDB,False
2ctc,HFA,3.886056647693163,1.40,1994,PDB,False
1add,1DA,6.7447274948966935,2.40,1994,PDB,False
1elc,0Z3,6.657577319177793,1.75,1994,PDB,False
1wht,BZS,3.6989700043360187,2.00,1994,PDB,False
1tsi,4PB,3.4814860601221125,2.84,1994,PDB,False
1cil,ETS,9.431798275933005,1.60,1994,PDB,False
2sim,DAN,3.42021640338319,1.60,1994,PDB,False
1thl,0DB,6.42021640338319,1.70,1994,PDB,False
1tnh,FBA,3.3665315444204134,1.80,1994,PDB,False
1ela,0Z1,6.356547323513813,2.00,1994,PDB,False
1cbx,BZS,6.346787486224656,2.00,1994,PDB,False
1ppc,MID,6.161150909262744,1.80,1994,PDB,False
1hps,RUN,9.221848749616356,2.30,1994,PDB,False
1fig,TSA,6.221848749616356,3.00,1994,PDB,False
1azm,AZM,6.096910013008056,2.00,1994,PDB,False
1rpa,TAR,6.0,3.00,1994,PDB,False
1tng,AMC,2.9318141382538383,1.80,1994,PDB,False
1pph,0ZG,5.920818753952375,1.90,1994,PDB,False
1ett,4QQ,5.886056647693163,2.50,1994,PDB,False
1cim,PTS,8.818156412055227,2.10,1994,PDB,False
1csi,CMX,8.795880017344075,1.70,1994,PDB,False
1cin,MTS,8.72584215073632,2.10,1994,PDB,False
1fki,SB1,7.0,2.20,1994,PDB,False
1rpf,C3P,3.987162775294828,2.20,1994,PDB,False
1gbt,GBS,2.0,2.00,1994,PDB,False
1fkg,SB3,8.0,2.00,1994,PDB,False
1tkb,N1T,8.0,2.30,1994,PDB,False
1nnb,DAN,5.0,2.80,1994,PDB,False
1tnj,PEA,1.958607314841775,1.80,1994,PDB,False
1ent,0EM,6.958607314841775,1.90,1994,PDB,False
1hvl,A76,9.950781977329818,1.80,1994,PDB,False
7cpa,FVF,13.958607314841775,2.00,1994,PDB,False
1epo,2Z3,7.958607314841775,2.00,1994,PDB,False
1hvk,A79,10.958607314841775,1.80,1994,PDB,False
1hvi,A77,10.920818753952375,1.80,1994,PDB,False
1tnl,TPA,1.8761483590329142,1.90,1994,PDB,False
1bra,BEN,1.8239087409443189,2.20,1994,PDB,False
1els,PAH,10.823908740944319,2.40,1994,PDB,False
1heg,PSI,7.7447274948966935,2.20,1994,PDB,False
1sbg,IM1,7.7447274948966935,2.30,1994,PDB,False
1ppk,IVV,7.657577319177793,1.80,1994,PDB,False
1csh,AMX,7.552841968657781,1.65,1994,PDB,False
1tnk,PRA,1.4881166390211256,1.80,1994,PDB,False
1dwc,MIT,7.4089353929735005,3.00,1994,PDB,False
1aaq,PSI,8.397940008672037,2.50,1994,PDB,False
1hvj,A78,11.397940008672037,2.00,1994,PDB,False
1dwd,MID,8.18045606445813,3.00,1994,PDB,False
1ets,MID,8.221848749616356,2.30,1994,PDB,False
1elb,0Z4,7.154901959985743,2.10,1994,PDB,False
8cpa,AGF,9.148741651280925,2.00,1994,PDB,False
1fkh,SBX,8.154901959985743,1.95,1994,PDB,False
1siv,PSI,8.075720713938118,2.50,1994,PDB,False
1mnc,PLH,10.337242168318426,2.10,1995,PDB,False
1fta,AMP,6.356547323513813,2.30,1995,PDB,False
1idb,0DO,7.958607314841775,2.20,1995,PDB,False
1hrn,03D,8.045757490560675,1.80,1995,PDB,False
1drj,RIP,7.3979400086720375,2.50,1995,PDB,False
2dri,RIP,6.886056647693163,1.60,1995,PDB,False
1drk,RIP,6.823908740944319,2.00,1995,PDB,False
1flr,FLU,10.0,1.85,1995,PDB,False
1hmr,ELA,6.552841968657781,1.40,1995,PDB,False
1hms,OLA,6.366531544420414,1.40,1995,PDB,False
1cbr,REA,9.397940008672037,2.90,1995,PDB,False
1hmt,STE,5.785156151952302,1.40,1995,PDB,False
1ahx,HCI,3.9208187539523753,2.00,1995,PDB,False
1cny,EG3,7.853871964321762,2.30,1995,PDB,False
1laf,ARG,7.853871964321762,2.06,1995,PDB,False
186l,N4B,4.853871964321762,1.80,1995,PDB,False
1cnw,EG1,7.721246399047171,2.00,1995,PDB,False
184l,I4B,4.721246399047171,1.80,1995,PDB,False
1yda,AZM,6.552841968657781,2.10,1995,PDB,False
185l,IND,3.537602002101044,1.80,1995,PDB,False
1pgp,6PG,5.698970004336019,2.50,1995,PDB,False
1lah,ORN,7.522878745280337,2.06,1995,PDB,False
187l,PXY,3.374687549038326,1.80,1995,PDB,False
1cnx,EG2,7.366531544420414,1.90,1995,PDB,False
1ahy,MAE,3.3565473235138126,2.30,1995,PDB,False
188l,OXE,3.3279021420642825,1.80,1995,PDB,False
1ydb,AZM,8.236572006437063,1.90,1995,PDB,False
1lag,HIS,6.301029995663981,2.06,1995,PDB,False
1ydd,AZM,7.0655015487564325,2.10,1995,PDB,False
1cgl,0ED,6.8696662315049934,2.40,1995,PDB,False
1ele,0QN,6.853871964321762,2.00,1995,PDB,False
2ada,HPR,13.0,2.40,1995,PDB,False
1fpc,0ZI,7.0,2.30,1995,PDB,False
1eld,0Z0,6.698970004336019,2.00,1995,PDB,False
1lcp,PLU,6.638272163982407,1.65,1995,PDB,False
1pdz,PGA,3.6989700043360187,2.20,1995,PDB,False
1hvr,XK2,9.508638306165727,1.80,1995,PDB,False
1tpw,PGH,3.3010299956639813,1.90,1995,PDB,False
1hpv,478,9.221848749616356,1.90,1995,PDB,False
1css,FCX,6.096910013008056,1.70,1995,PDB,False
1ctu,ZEB,11.920818753952375,2.30,1995,PDB,False
1gar,U89,10.0,1.96,1995,PDB,False
1ebg,PAH,10.823908740944319,2.10,1995,PDB,False
1hdt,0E7,7.764471553092451,2.60,1995,PDB,False
1bty,BEN,4.735182176990463,1.50,1995,PDB,False
1ibg,OBN,8.55284196865778,2.70,1995,PDB,False
1bma,0QH,4.585026652029182,1.80,1995,PDB,False
1ctt,DHZ,4.522878745280337,2.20,1995,PDB,False
1csr,FAM,7.376750709602099,1.70,1995,PDB,False
1hbv,GAN,6.366531544420414,2.30,1995,PDB,False
1std,BFS,10.327902142064282,2.90,1995,PDB,False
1qca,FUA,5.267606240177032,2.20,1995,PDB,False
1hvs,A77,10.301029995663981,2.25,1995,PDB,False
1hii,C20,7.275724130399211,2.30,1995,PDB,False
1lan,LEU,7.221848749616356,1.90,1995,PDB,False
1hti,PGA,5.130768280269024,2.80,1995,PDB,False
1hih,C20,8.045757490560675,2.20,1995,PDB,False
1vrt,NVP,7.096910013008056,2.20,1996,PDB,False
1vru,AAP,7.0,2.40,1996,PDB,False
1rth,U05,6.3979400086720375,2.20,1996,PDB,False
1bil,0IU,9.301029995663981,2.40,1996,PDB,False
1bim,0QB,8.920818753952375,2.80,1996,PDB,False
1fpi,AMP,5.886056647693163,2.30,1996,PDB,False
1inf,ST4,5.0,2.40,1996,PDB,False
1rti,HEF,4.769551078621726,3.00,1996,PDB,False
1gym,MYG,2.6989700043360187,2.20,1996,PDB,False
1inh,ST6,2.3010299956639813,2.40,1996,PDB,False
1nja,DCM,6.309803919971486,2.50,1996,PDB,False
1njb,UMP,5.795880017344075,2.74,1996,PDB,False
1gaf,NPE,8.0,1.95,1996,PDB,False
1tsy,UMP,4.958607314841775,2.20,1996,PDB,False
1cea,ACA,4.958607314841775,2.06,1996,PDB,False
1dar,GDP,4.958607314841775,2.40,1996,PDB,False
1tsv,UMP,4.795880017344075,2.90,1996,PDB,False
1nje,DCM,3.7958800173440754,2.30,1996,PDB,False
1ceb,AMH,6.0,2.07,1996,PDB,False
1njd,UMP,5.568636235841013,2.20,1996,PDB,False
1njc,DCM,5.552841968657781,2.50,1996,PDB,False
1mai,I3P,6.6777807052660805,1.90,1996,PDB,False
1zsb,AZM,0.6020599913279624,2.00,1996,PDB,False
1pot,SPD,5.494850021680094,1.80,1996,PDB,False
1btn,I3P,4.3979400086720375,2.00,1996,PDB,False
1det,2GP,4.301029995663981,1.80,1996,PDB,False
1kel,AAH,7.2839966563652006,1.90,1996,PDB,False
