[protein],[ligand],[-log k],[resolution],[year],[origin],[covalent_bond],complex_id,smiles
6hro,GKZ,7.301029995663981,2.3,2019,PDB,False,6hro_GKZ,Cc1c(c([nH]n1)c2ccc(cc2O)OCC[NH+]3CCC(CC3)C(=O)N)c4ccc(cc4)Cl
4u0f,3A8,5.920818753952375,2.22,2014,PDB,False,4u0f_3A8,c1ccc(cc1)c2c3c([nH]n2)C(=O)N[C@H]3c4ccc(cc4)O
4azf,3RA,6.346787486224656,2.55,2012,PDB,False,4azf_3RA,c1ccc(cc1)NC2=NC(=O)C(=N2)Cc3ccc4c(c3)OCO4
1gja,135,5.42021640338319,1.56,2002,PDB,False,1gja_135,[H]/N=C(\c1ccc(cc1)NC(=O)c2ccccc2O)/N
3ej1,5BP,6.920818753952375,3.22,2008,PDB,False,3ej1_5BP,c1cc2c(cnn2nc1)c3ccnc(n3)NC4CC4
1qbu,846,10.236572006437065,1.8,1997,PDB,False,1qbu_846,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)CC5CC5)Cc6ccccc6)O)O
4kfq,KFQ,8.232102383981909,2.2,2013,PDB,False,4kfq_KFQ,c1ccc-2c(c1)NC(=O)c3n2c(nn3)S
5anw,9CQ,8.522878745280337,1.37,2016,PDB,False,5anw_9CQ,CN(C)C(=O)Cc1ccc(cc1)c2c3ccccc3nc(n2)N
1g4j,FFB,8.698970004336019,1.84,2000,PDB,False,1g4j_FFB,c1cc(ccc1C(=O)NCc2c(c(c(c(c2F)F)F)F)F)S(=O)(=O)N
5th4,BEW,2.847711655616944,1.47,2017,PDB,False,5th4_BEW,c1cc[n+](c(c1)S)O
2ym5,YM5,6.366531544420414,2.03,2012,PDB,False,2ym5_YM5,c1cc(cc(c1)c2c[nH]c3c2c(ncn3)N4CCO[C@H](C4)CN)CO
4y29,CTI,6.247183568811728,1.98,2015,PDB,False,4y29_CTI,C[n+]1cc2c(ccc(c2OC)OC)c3c1c4cc5c(cc4cc3)OCO5
3gxl,QIG,7.602059991327962,1.8,2009,PDB,False,3gxl_QIG,Cc1cccc(n1)c2nc3ccccc3c(n2)Nc4ccc5c(c4)cn[nH]5
4nah,2VJ,6.309803919971486,2.38,2014,PDB,False,4nah_2VJ,CCc1cc(nc(n1)[C@H]2CCCC[C@@H]2C(=O)NCc3ccc(c(c3)Cl)Cl)Sc4[nH]c(cn4)C(=O)O
3l4v,KTL,6.721246399047171,2.1,2010,PDB,False,3l4v_KTL,C1[C@H]([C@@H]([C@H]([S@@+]1C[C@H]([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)OS(=O)(=O)[O-])O)CO)O)O
1l5s,URC,3.2596373105057563,2.1,2002,PDB,False,1l5s_URC,C12=C(NC(=O)N1)NC(=O)NC2=O
2gvf,NHN,7.602059991327962,2.5,2007,PDB,True,2gvf_NHN,CCC[C@@H](C(=O)C(=O)NCC(=O)N[C@@H](c1ccccc1)C(=O)N(C)C)NC(=O)[C@@H]2CC3CN2C(=O)[C@@H](NC(=O)CCc4cccc(c4)OCCO3)C5CCCCC5
5zhj,SAH,4.995678626217358,1.75,2019,PDB,False,5zhj_SAH,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
3twp,SAL,3.924453038607469,1.83,2012,PDB,False,3twp_SAL,c1ccc(c(c1)C(=O)O)O
2wei,VGG,8.468521082957745,1.65,2009,PDB,False,2wei_VGG,Cc1cccc(c1)Cc2c3c(ncnc3n(n2)C(C)(C)C)N
3h0b,B35,5.494850021680094,2.7,2009,PDB,False,3h0b_B35,COc1ccc(cc1C[C@@H](c2ccc(c(c2)F)OC)c3c[nH]c(n3)N)[N+](=O)[O-]
5kxi,NCT,7.739928612014925,3.94,2016,PDB,False,5kxi_NCT,C[N@@]1CCC[C@H]1c2cccnc2
2ybu,CX9,6.376750709602099,2.25,2011,PDB,False,2ybu_CX9,Cn1cnc2c1C(=O)N(C(=O)N2C)CCCN3C(=O)c4c([nH]cn4)N(C3=O)C
5om2,DXT,4.06198090252379,1.47,2018,PDB,False,5om2_DXT,C[C@H]1c2cccc(c2C(=O)C3=C([C@]4([C@@H]([C@H]([C@H]13)O)[C@@H](C(=C(C4=O)C(=O)N)O)N(C)C)O)O)O
3f78,ICF,3.096910013008056,1.6,2009,PDB,False,3f78_ICF,[C@H](C(F)(F)F)(OC(F)F)Cl
3r6c,17N,4.721246399047171,1.83,2012,PDB,False,3r6c_17N,COc1cccc2c1cc(c3c2c4c(cc3C(=O)O)OCO4)C(=O)O
4ovh,2VE,4.853871964321762,2.25,2014,PDB,False,4ovh_2VE,c1cc2c(cc1Br)c3c(n2CC(=O)NCC(=O)O)C[C@@H](CC3)C(=O)O
5cao,4ZG,7.42021640338319,2.6,2015,PDB,False,5cao_4ZG,Cc1nc2cnc(cc2n1C(C)C)Nc3ccnc(n3)NCC(C)(C)S(=O)(=O)C
4afj,SJJ,6.400116927926312,1.98,2012,PDB,False,4afj_SJJ,COc1ccc(cc1)c2c(nco2)C(=O)NCc3ccncc3
5i23,66V,7.286509456906058,1.95,2016,PDB,True,5i23_66V,C(CCCCN=[N+]=N)CCCN[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1O)O)O)O)CO
5ncz,8TN,9.096910013008056,1.94,2017,PDB,False,5ncz_8TN,CC1=CSC2=CC(=C(C(=O)N12)c3cccc(c3)CN(C)C)[C@H](C)Nc4c(c(ncn4)N)C#N
4der,AGI,6.309803919971486,1.9,2012,PDB,False,4der_AGI,c1cc(ccc1C2=CC(=O)c3c(cc(cc3O2)O)O)O
1qbr,XV6,10.568636235841012,1.8,1997,PDB,False,1qbr_XV6,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O
3d1v,D1V,3.489454989793388,2.7,2009,PDB,False,3d1v_D1V,c1ccc2c(c1)C(=O)NC(=N2)S
2pym,1UN,6.823908740944319,1.9,2008,PDB,False,2pym_1UN,Cc1c(cccc1O)C(=O)N[C@@H](CSc2ccccc2)[C@@H](C[N@@]3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
1zoh,K44,7.0,1.81,2005,PDB,False,1zoh_K44,C[N@@]1CCn2c1nc3c2c(c(c(c3Br)Br)Br)Br
1n4h,REA,6.552841968657781,2.1,2003,PDB,False,1n4h_REA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
4nka,2K7,6.5066813917678985,2.19,2013,PDB,False,4nka_2K7,Cc1cc(on1)CNc2nccc(n2)Nc3cc(n[nH]3)CCc4ccc(c(c4)OC)OC
4feq,0T8,5.958607314841775,2.2,2013,PDB,False,4feq_0T8,c1cnccc1CCNc2ncc(c(n2)NC3CCCC3)C(=O)NCCCN4CCCC4=O
3anr,HRM,6.455931955649724,2.6,2010,PDB,False,3anr_HRM,Cc1c2c(ccn1)c3ccc(cc3[nH]2)OC
6ebw,J3Y,8.602059991327963,2.46,2019,PDB,False,6ebw_J3Y,Cc1cc(n[nH]1)n2cc(c3c2nc(cc3)N[C@@H](C)c4ccc(cn4)F)C(=O)N5CCOCC5
3dt1,P40,8.619788758288394,2.8,2008,PDB,False,3dt1_P40,Cc1ccc(cc1c2ccc3c(c2)cnc(n3)NCCN4CCOCC4)C(=O)NC5CC5
4mme,29Q,6.497572880015567,2.5,2013,PDB,False,4mme_29Q,c1ccc2c(c1)C3=NCCN3[C@]2(c4ccc(cc4)Cl)O
1qin,GIP,8.0,2.0,1999,PDB,False,1qin_GIP,c1cc(ccc1N(C(O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O)I
3e51,N35,7.853871964321762,1.9,2009,PDB,False,3e51_N35,CC(C)CCN1C(=O)C(=C(C(=N1)N2CCCC2)O)C3=Nc4ccc(cc4S(=O)(=O)N3)NS(=O)(=O)C
2yhw,BM3,5.6020599913279625,1.64,2012,PDB,False,2yhw_BM3,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O
3d6q,U3S,3.7644715530924513,1.6,2009,PDB,False,3d6q_U3S,C1CCN(CC1)C[C@H]2[C@@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O
1x78,244,7.853871964321762,2.3,2005,PDB,False,1x78_244,c1cc(ccc1c2cc3cc(cc(c3o2)CC#N)O)O
4ps8,2WK,9.0,2.99,2014,PDB,False,4ps8_2WK,CC(=O)Nc1nc2ccc(cc2s1)c3cc(c(nc3)OC)OC
6f9u,D0W,5.130768280269024,1.9,2018,PDB,False,6f9u_D0W,CC(=O)N[C@@H](CC(=O)O)C(=O)NC[C@H](CC1(CCCC1)C(=O)N[C@@H](Cc2ccc(cc2)O)C(=O)O)C(=O)O
3d7g,MUD,7.769551078621726,1.75,2008,PDB,False,3d7g_MUD,CSC[C@@H](C(=O)O)NC(=O)N[C@@H](CCC(=O)O)C(=O)O
3ebo,57D,4.721017883134557,1.9,2009,PDB,False,3ebo_57D,c1ccc(cc1)C2=CC(=O)c3c(cc(cc3O2)O)O
4ibe,11Y,4.151195298948196,1.95,2014,PDB,False,4ibe_11Y,c1ccc(cc1)C(=O)C2=C(C(=O)N([C@H]2c3cc(cs3)Br)c4ccc(c(c4)C(=O)O)Cl)O
5nt4,97Z,7.769551078621726,1.9,2018,PDB,False,5nt4_97Z,c1ccc2c(c1)C(=O)NC(=N2)c3ccc(cc3)N4CCOCC4
5fdp,5WR,6.510041520575165,2.25,2016,PDB,False,5fdp_5WR,C[C@@H]1CN(Cc2c1ccc(c2)C(=O)Nc3cc(cc(c3)C(F)(F)F)CN4CCN(CC4)C)c5cncnc5
4tk5,UHB,7.494850021680094,2.02,2014,PDB,False,4tk5_UHB,c1cc2c(c(c1)NC(=O)CN3CCN(CC3)C(=O)[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)CNC2=O
5tur,7LK,6.045757490560675,2.95,2017,PDB,False,5tur_7LK,Cn1c(cc2c1nccc2C#N)c3ccc(cc3)N4CCNCC4
6dar,G2J,6.6595558851598815,1.88,2018,PDB,False,6dar_G2J,COc1cccc(c1)C(=O)N(Cc2cccc(c2)c3cn4c(n3)CCC4)CC5CC5
4i4e,1BQ,6.301029995663981,1.55,2013,PDB,False,4i4e_1BQ,CN1c2ccc(cc2-c3c(cn[nH]3)S1(=O)=O)c4ccc(cc4)C(=O)N5CCC(CC5)CCO
5vja,DUK,6.585026652029182,2.46,2018,PDB,False,5vja_DUK,C[C@H](C(=O)N)SC1=Nc2c(cnn2c3cccc(c3)Cl)C(=O)N1
6nlj,KTV,4.823908740944319,1.65,2019,PDB,False,6nlj_KTV,c1cc(cc(c1)O)CNc2cccc3c2C(=O)NC3=O
5i59,67Q,6.950781977329818,2.25,2016,PDB,False,5i59_67Q,Cc1c(ncc(n1)C(=O)NCC2=SC(=NC2)C)CNS(=O)(=O)c3ccc(c(c3)F)F
3q6w,Q6W,7.568636235841013,1.75,2011,PDB,False,3q6w_Q6W,c1ccnc(c1)CNC(=O)CCc2ccc3c(c2)C(=O)c4cc(cnc4C=C3)c5cnn(c5)C6CCNCC6
4dea,NHI,6.59176003468815,2.45,2012,PDB,False,4dea_NHI,c1cc(ccc1C(=O)O)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O
2ofu,1N9,9.0,2.0,2007,PDB,False,2ofu_1N9,Cc1cccc(c1OC(=O)N(c2ccc(cc2OC)OC)c3ccnc(n3)Nc4cc(c(c(c4)OC)OCCCN5CCN(CC5)C)OC)C
2ao6,R18,9.2839966563652,1.89,2005,PDB,False,2ao6_R18,C[C@@]1(CC[C@@H]2[C@@]1(C=CC3=C4CCC(=O)C=C4CC[C@@H]23)C)O
5k0h,6PK,7.091514981121351,2.2,2016,PDB,False,5k0h_6PK,[H]/N=C(\c1ccc(cc1)CNC(=O)CNC(=O)[C@@H](COCc2ccccc2)NS(=O)(=O)Cc3ccccc3)/N
1hrn,03D,8.045757490560675,1.8,1995,PDB,False,1hrn_03D,CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2CC2)C[C@@H]([C@H](Cc3ccccc3)O)O)O)O
2ea2,F77,7.795880017344075,2.5,2008,PDB,False,2ea2_F77,CCc1ccc(c(c1C)C(=O)O)NS(=O)(=O)c2ccc(cc2)F
1b6m,PI6,8.397940008672037,1.85,2000,PDB,False,1b6m_PI6,CC[C@H](C)[C@H]1C(=O)NCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC[C@H]([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)O
1xot,VDN,5.42021640338319,2.34,2004,PDB,False,1xot_VDN,CCCc1nc(c2n1NC(=NC2=O)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC4)CC)C
3qnd,SIA,4.853871964321762,2.4,2011,PDB,False,3qnd_SIA,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O
4bbh,YBN,7.096910013008056,1.63,2012,PDB,False,4bbh_YBN,COc1cccc(c1)COC(=O)c2c(c3ccccc3s2)OC4CCNCC4
5ktu,6XB,6.2076083105017466,1.38,2016,PDB,False,5ktu_6XB,CC(=O)N1CCc2c(c(n[nH]2)Nc3ccccc3)C1
5qak,AV4,3.657577319177794,1.9,2018,PDB,False,5qak_AV4,CN(C)c1cccc(c1)c2cccc(c2)C(=O)O
5kbr,IPW,6.585026652029182,2.36,2016,PDB,False,5kbr_IPW,c1cc(ccc1C(=O)c2c[nH]c3c2cc(cn3)c4cnn(c4)C5CCNCC5)Cl
2imb,AHL,4.221848749616356,2.41,2007,PDB,False,2imb_AHL,[H]/N=C(\N)/NCCC[C@@H](C(=O)NO)N
5i9y,1N1,8.55284196865778,1.23,2016,PDB,False,5i9y_1N1,Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl
1htf,G26,6.8297382846050425,2.2,1994,PDB,False,1htf_G26,CC1([C@@H](N[C@H](S1)[C@@H](C(=O)NCc2ccccc2)NC(=O)Cc3ccccc3)C(=O)N[C@H](Cc4ccccc4)CO)C
4yl0,4DZ,8.221848749616356,1.52,2015,PDB,False,4yl0_4DZ,c1ccc2c(c1)c3cc(ccc3c4c2nc([nH]4)c5c(cccc5C#N)C#N)Cl
5ekx,2CQ,2.0315170514460648,1.76,2016,PDB,False,5ekx_2CQ,Cc1cc(c(cc1Cl)N)N
3tay,MN0,3.3767507096021,1.85,2012,PDB,False,3tay_MN0,CO[C@@]1(C[C@@H]([C@H]([C@@H](O1)[C@@H]([C@@H](CO)O)O)NC(=O)CO)O)C(=O)O
2b7a,IZA,9.0,2.0,2006,PDB,False,2b7a_IZA,CC(C)(C)c1[nH]c2c3c(c4cc(ccc4c2n1)F)C(=O)NC=C3
3dv1,AR9,6.229147988357856,2.1,2009,PDB,False,3dv1_AR9,CCCCNC(=O)[C@H](C)C[C@@H]([C@@H]1C[C@@H](CCCCCCCC(=O)N[C@H](C(=O)N1)C)C)O
1npz,C1P,7.886056647693163,2.0,2003,PDB,True,1npz_C1P,CC(C)CC(C(=O)NC(CCc1ccccc1)CCS(=O)(=O)c2ccccc2)NC(=O)N3CCOCC3
1m0b,0ZQ,8.8153085691824,2.45,2004,PDB,False,1m0b_0ZQ,CC(C)(C)OC(=O)N[C@H](CCN[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N)Cc3ccccc3
1pg2,MET,4.958607314841775,1.75,2004,PDB,False,1pg2_MET,CSCC[C@@H](C(=O)O)N
5kos,6VS,8.823908740944319,2.41,2016,PDB,False,5kos_6VS,CC(C)CN([C@H]1C[C@H](CNC1)C(=O)N2CCOCC2)C(=O)c3cnc(nc3NCCCOC)C(C)(C)C
3p4r,GUA,2.721246399047171,3.05,2010,PDB,False,3p4r_GUA,C(CC(=O)O)CC(=O)O
6q96,HRE,10.0,1.8,2019,PDB,False,6q96_HRE,CC(C)c1c2c(nn1c3cnc(nc3OC)N(C)C)C(=O)N([C@H]2c4ccc(cc4)C#N)C5=CC(=CNC5=O)Cl
5vfj,DHC,4.698970004336019,2.08,2017,PDB,False,5vfj_DHC,c1cc(c(cc1\C=C\C(=O)O)O)O
4qmx,H8H,4.958607314841775,1.88,2015,PDB,False,4qmx_H8H,CN1CCN(CC1)CCOc2cc3c(c(c2)OC4CCOCC4)c(ncn3)Nc5c(ccc6c5OCO6)Cl
2x95,X95,4.94692155651658,1.96,2010,PDB,False,2x95_X95,c1ccc(cc1)CC[C@@H](C(=O)O)N[C@@H](CCCCN)C(=O)N[C@H](Cc2c[nH]c3c2cccc3)C(=O)O
2f6v,SK2,4.431798275933005,1.7,2005,PDB,False,2f6v_SK2,CNC(=O)[C@@H]1Cc2ccc(cc2CN1C(=O)OCc3ccccc3)NS(=O)(=O)O
3cgo,JNO,5.522878745280337,3.0,2008,PDB,False,3cgo_JNO,CNC(=O)CN1CCC(CC1)Nc2nccc(n2)c3cnc4n3cccc4
5d0c,E0B,5.6307841425898575,1.49,2016,PDB,False,5d0c_E0B,CCN1c2ccc(c3c2c(ccc3)C1=O)S(=O)(=O)NCC4CCN(CC4)C(=O)C
5jz9,6OR,3.5686362358410126,2.68,2017,PDB,False,5jz9_6OR,c1c(cc(c(c1Cl)O)Cl)S(=O)(=O)O
3zbf,VGH,7.522878745280337,2.2,2013,PDB,False,3zbf_VGH,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4
4bbg,V02,8.318758762624412,2.75,2013,PDB,False,4bbg_V02,CCc1cccc(c1)[C@](c2ccccc2)(c3cccc(c3)O)SCCN
5u14,7PV,5.337242168318426,1.95,2017,PDB,False,5u14_7PV,c1cc(ccc1CCSc2[nH]c3c(n2)C(=O)NC(=N3)N)S(=O)(=O)N
2y82,930,8.397940008672037,2.2,2011,PDB,False,2y82_930,c1cc(cc2c1cc(cc2)Cl)S(=O)(=O)N[C@H]3CCN(C3=O)c4ccc(cc4F)[C@@H]5CCCN5
3qpn,PFK,7.769551078621726,2.0,2011,PDB,False,3qpn_PFK,COc1cc2cncnc2cc1OCCc3ccc4ccccc4n3
